komentar,label,Unnamed: 2,preprocessed
"Berani melapor, tapi takut malah jadi tersangka.",fear,,berani lapor  takut sangka 
Takut karena keadilan hanya untuk mereka yang punya kuasa.,fear,,takut adil kuasa 
"Melihat kejahatan bebas berkeliaran, makin ngeri hidup di sini.",fear,,lihat jahat bebas liar  ngeri hidup 
"Jika aparat bisa menyalahgunakan wewenang, siapa yang melindungi kita?",fear,,aparat menyalahgunakan wewenang  lindung 
"Polisi diam, sementara ketidakadilan terus terjadi.",fear,,polisi diam  ketidakadilan 
Takut karena banyak yang bicara benar malah dibungkam.,fear,,takut bicara bungkam 
"Miris, masyarakat mulai takut mempercayai aparat.",fear,,miris  masyarakat takut percaya aparat 
"Setiap ada kasus viral, tiba-tiba semuanya menghilang.",fear,,viral  hilang 
"Hukum harusnya melindungi, tapi kenapa terasa menakutkan?",fear,,hukum lindung  asa takut 
Takut kalau kejahatan justru dilindungi oleh yang berwenang.,fear,,takut jahat lindung wenang 
Susah percaya kalau hukum bisa berubah ke arah lebih baik.,fear,,susah percaya hukum ubah arah 
Ngeri kalau aparat bisa berbuat semaunya tanpa konsekuensi.,fear,,ngeri aparat konsekuensi 
Takut kalau sistem hukum ini tak akan pernah membaik.,fear,,takut sistem hukum 
Banyak yang takut bicara karena bisa berujung ancaman.,fear,,takut bicara ujung ancam 
Takut jika ketidakadilan ini sudah dianggap wajar.,fear,,takut ketidakadilan anggap wajar 
"Kalau hukum tak bisa dipercaya, siapa yang bisa?",fear,,hukum percaya  
"Rasa takut ini bukan tanpa alasan, terlalu banyak bukti nyata.",fear,,takut alas  bukti nyata 
"Jika polisi tidak bisa diandalkan, ke mana lagi harus meminta bantuan?",fear,,polisi andal  bantu 
Takut saat yang benar malah ditekan habis-habisan.,fear,,takut tekan habis 
Bagaimana jika kasus kita hanya berakhir sebagai statistik?,fear,,statistik 
Takut ketika bukti jelas tapi tidak ada tindakan.,fear,,takut bukti tindak 
"Polisi harusnya hadir sebagai pelindung, bukan sumber ketakutan.",fear,,polisi hadir lindung  sumber takut 
Ngeri kalau sistem ini terus melahirkan ketidakadilan.,fear,,ngeri sistem lahir ketidakadilan 
"Jika rakyat kecil tak pernah menang di mata hukum, lalu untuk apa hukum itu ada?",fear,,rakyat menang mata hukum  hukum 
Takut lihat berita kalau aparat bisa sesukanya tanpa hukuman.,fear,,takut lihat berita aparat suka hukum 
"Melawan kejahatan itu berat, tapi lebih berat kalau aparat ikut bermain.",fear,,lawan jahat berat  berat aparat main 
Takut kalau kita sudah terbiasa dengan hukum yang timpang.,fear,,takut hukum timpang 
"Polisi harusnya memberi rasa aman, bukan cemas.",fear,,polisi aman  cemas 
Bagaimana bisa percaya kalau kejahatan tetap merajalela?,fear,,percaya jahat rajalela 
Takut kalau hukum hanya tunduk pada uang dan kekuasaan.,fear,,takut hukum tunduk uang kuasa 
"Kasus besar tak tersentuh, tapi yang kecil langsung dihukum.",fear,,sentuh  langsung hukum 
Takut karena hukum lebih sering berpihak pada yang kaya.,fear,,takut hukum kaya 
"Polisi janji reformasi, tapi yang terjadi malah sebaliknya.",fear,,polisi janji reformasi  
"Jika hukum hanya formalitas, lalu untuk apa?",fear,,hukum formalitas  
Saya percaya polisi bisa menegakkan keadilan dengan adil.,trust,,percaya polisi tegak adil adil 
Semoga polisi tetap berintegritas dan menjaga kepercayaan rakyat.,trust,,moga polisi integritas jaga percaya rakyat 
Saya yakin masih banyak polisi yang bekerja dengan hati nurani.,trust,,polisi kerja hati nurani 
Polisi yang jujur akan selalu mendapat tempat di hati masyarakat.,trust,,polisi jujur hati masyarakat 
Percaya bahwa hukum akan ditegakkan tanpa pandang bulu.,trust,,percaya hukum tegak pandang bulu 
Kami berharap polisi selalu melindungi yang lemah.,trust,,harap polisi lindung lemah 
Kepercayaan rakyat adalah aset terbesar kepolisian.,trust,,percaya rakyat aset polisi 
Saya yakin ada polisi yang bekerja demi kebaikan negeri ini.,trust,,polisi kerja negeri 
Polisi adalah garda terdepan dalam menjaga ketertiban masyarakat.,trust,,polisi garda jaga tertib masyarakat 
Kami percaya polisi bisa menjadi harapan bagi keadilan.,trust,,percaya polisi harap adil 
Integritas polisi adalah pondasi utama kepercayaan publik.,trust,,integritas polisi pondasi utama percaya publik 
Teknologi bisa membantu polisi dalam meningkatkan efektivitas tugasnya.,netral,,teknologi bantu polisi tingkat efektivitas tugas 
Perbaikan di berbagai sektor kepolisian akan membawa dampak positif bagi masyarakat.,netral,,sektor polisi bawa dampak positif masyarakat 
Setiap laporan dari masyarakat seharusnya ditindaklanjuti sesuai prosedur.,netral,,lapor masyarakat ditindaklanjuti sesuai prosedur 
Kepolisian yang bekerja profesional akan membawa dampak baik bagi sistem hukum kita.,netral,,polisi kerja profesional bawa dampak sistem hukum 
"Semakin profesional kepolisian, semakin aman masyarakat dalam beraktivitas.",netral,,profesional polisi  aman masyarakat aktivitas 
Kejujuran polisi adalah harapan bagi masa depan hukum di negeri ini.,trust,,jujur polisi harap hukum negeri 
Kami percaya masih ada polisi yang benar-benar mengabdi untuk rakyat.,trust,,percaya polisi abdi rakyat 
Rakyat membutuhkan polisi yang bisa dipercaya dan diandalkan.,trust,,rakyat butuh polisi percaya andal 
Saya yakin polisi akan terus bekerja untuk menegakkan hukum dengan tegas.,trust,,polisi kerja tegak hukum 
Kepercayaan masyarakat adalah tanggung jawab yang harus dijaga oleh kepolisian.,trust,,percaya masyarakat tanggung jaga polisi 
Kami percaya hukum akan tegak jika polisi bekerja dengan jujur.,trust,,percaya hukum tegak polisi kerja jujur 
Polisi yang transparan akan selalu mendapat dukungan rakyat.,trust,,polisi transparan dukung rakyat 
Kami berharap polisi terus bekerja dengan penuh dedikasi.,trust,,harap polisi kerja penuh dedikasi 
Keberanian polisi dalam menegakkan keadilan patut diapresiasi.,trust,,berani polisi tegak adil patut apresiasi 
Saya yakin ada polisi yang bekerja dengan hati untuk rakyat.,trust,,polisi kerja hati rakyat 
Kami percaya reformasi kepolisian akan membawa perubahan positif.,trust,,percaya reformasi polisi bawa ubah positif 
Polisi adalah simbol perlindungan yang harus dijaga dengan baik.,trust,,polisi simbol lindung jaga 
Kami yakin polisi bisa menjadi panutan dalam menegakkan hukum.,trust,,polisi panutan tegak hukum 
Polisi yang bertanggung jawab akan selalu dihormati rakyat.,trust,,polisi tanggung hormat rakyat 
Saya percaya kepolisian bisa memperbaiki citranya dengan kerja nyata.,trust,,percaya polisi citra kerja nyata 
Kepastian hukum bisa terwujud jika polisi bekerja dengan kejujuran.,trust,,hukum wujud polisi kerja jujur 
Keamanan masyarakat ada di tangan polisi yang bekerja dengan tulus.,trust,,aman masyarakat tangan polisi kerja tulus 
Saya yakin polisi bisa menjadi pilar keadilan di negeri ini.,trust,,polisi pilar adil negeri 
Polisi yang setia pada sumpahnya akan selalu dihormati rakyat.,trust,,polisi setia sumpah hormat rakyat 
Kami percaya masih ada polisi yang bekerja tanpa pamrih.,trust,,percaya polisi kerja pamrih 
Polisi yang profesional adalah harapan bagi sistem hukum yang lebih baik.,trust,,polisi profesional harap sistem hukum 
Saya yakin polisi bisa membawa rasa aman bagi masyarakat.,trust,,polisi bawa aman masyarakat 
Keadilan akan terwujud jika polisi bekerja dengan transparansi.,trust,,adil wujud polisi kerja transparansi 
Kepercayaan masyarakat terhadap polisi harus dijaga dengan baik.,trust,,percaya masyarakat hadap polisi jaga 
Polisi yang bekerja dengan prinsip kejujuran akan selalu mendapat dukungan.,trust,,polisi kerja prinsip jujur dukung 
Saya percaya kepolisian bisa semakin dekat dengan rakyat.,trust,,percaya polisi rakyat 
Polisi yang baik adalah mereka yang selalu berpihak pada kebenaran.,trust,,polisi 
Kami percaya polisi bisa menjadi bagian dari perubahan positif.,trust,,percaya polisi ubah positif 
Kepolisian yang profesional akan membawa keamanan bagi seluruh rakyat.,trust,,polisi profesional bawa aman rakyat 
Kami percaya polisi bisa membangun kembali kepercayaan masyarakat.,trust,,percaya polisi bangun percaya masyarakat 
Polisi yang bekerja dengan hati akan selalu mendapat penghormatan.,trust,,polisi kerja hati hormat 
Kepercayaan rakyat akan semakin kuat jika polisi terus berbenah.,trust,,percaya rakyat kuat polisi benah 
Kami yakin kepolisian bisa menjadi simbol keadilan yang sesungguhnya.,trust,,polisi simbol adil sungguh 
Polisi yang bertanggung jawab akan selalu mendapat tempat di hati rakyat.,trust,,polisi tanggung hati rakyat 
Saya yakin kepolisian bisa menjaga keadilan untuk semua.,trust,,polisi jaga adil 
Kami percaya polisi akan selalu berada di pihak yang benar.,trust,,percaya polisi 
Hukum akan berjalan baik jika polisi bekerja dengan penuh tanggung jawab.,trust,,hukum jalan polisi kerja penuh tanggung 
Polisi yang disiplin akan membawa perubahan besar bagi negeri ini.,trust,,polisi disiplin bawa ubah negeri 
Kami yakin kepolisian akan terus melindungi masyarakat dengan sepenuh hati.,trust,,polisi lindung masyarakat sepenuh hati 
Polisi yang bekerja dengan jujur akan selalu mendapat dukungan rakyat.,trust,,polisi kerja jujur dukung rakyat 
Saya percaya kepolisian mampu memberantas kejahatan dengan tegas.,trust,,percaya polisi berantas jahat 
Polisi yang berani menegakkan kebenaran adalah pahlawan bagi rakyat.,trust,,polisi berani tegak pahlawan rakyat 
Kami percaya kepolisian bisa menjaga keamanan dengan lebih baik.,trust,,percaya polisi jaga aman 
Polisi adalah garda terdepan dalam menciptakan ketertiban di masyarakat.,trust,,polisi garda cipta tertib masyarakat 
Integritas polisi adalah hal yang sangat berharga bagi bangsa ini.,trust,,integritas polisi harga bangsa 
Saya yakin kepolisian terus berusaha memperbaiki sistem penegakan hukum.,trust,,polisi usaha sistem tega hukum 
Keamanan akan lebih terjamin jika polisi bekerja dengan penuh dedikasi.,trust,,aman jamin polisi kerja penuh dedikasi 
Kami percaya polisi bisa menindak kejahatan tanpa pandang bulu.,trust,,percaya polisi tindak jahat pandang bulu 
Polisi yang bekerja dengan profesionalisme tinggi akan selalu dihormati.,trust,,polisi kerja profesionalisme hormat 
Saya yakin ada polisi yang benar-benar ingin melindungi rakyat.,trust,,polisi lindung rakyat 
Kepolisian yang kuat akan menciptakan rasa aman di tengah masyarakat.,trust,,polisi kuat cipta aman masyarakat 
Kami yakin polisi bisa mengembalikan kepercayaan masyarakat dengan kerja nyata.,trust,,polisi percaya masyarakat kerja nyata 
Polisi yang menjalankan tugasnya dengan hati nurani akan dihormati rakyat.,trust,,polisi jalan tugas hati nurani hormat rakyat 
Kejujuran polisi adalah kunci utama dalam membangun kepercayaan publik.,trust,,jujur polisi kunci utama bangun percaya publik 
Saya percaya polisi mampu menciptakan suasana yang aman dan kondusif.,trust,,percaya polisi cipta suasana aman kondusif 
Kami berharap polisi tetap berkomitmen untuk memberantas segala bentuk kejahatan.,trust,,harap polisi komitmen berantas bentuk jahat 
Rakyat butuh polisi yang bisa menjadi panutan dalam menegakkan hukum.,trust,,rakyat butuh polisi panutan tegak hukum 
Saya percaya kepolisian bisa lebih transparan dalam menangani kasus.,trust,,percaya polisi transparan tangan 
Keberanian polisi dalam melawan ketidakadilan adalah hal yang patut diapresiasi.,trust,,berani polisi lawan ketidakadilan patut apresiasi 
Kami yakin polisi bisa menjalankan tugasnya tanpa intervensi dari pihak manapun.,trust,,polisi jalan tugas intervensi 
Polisi yang berpegang teguh pada prinsip keadilan akan selalu didukung rakyat.,trust,,polisi pegang teguh prinsip adil dukung rakyat 
Saya percaya reformasi kepolisian akan membawa dampak positif bagi hukum.,trust,,percaya reformasi polisi bawa dampak positif hukum 
Polisi yang humanis akan lebih dekat dengan masyarakat.,trust,,polisi humanis masyarakat 
Kepolisian yang bertindak adil akan selalu mendapatkan kepercayaan publik.,trust,,polisi tindak adil percaya publik 
Kami yakin polisi bisa bekerja lebih baik untuk masa depan yang lebih aman.,trust,,polisi kerja aman 
Polisi yang bertanggung jawab adalah harapan bagi bangsa ini.,trust,,polisi tanggung harap bangsa 
Saya percaya kepolisian bisa menangani kasus dengan cepat dan tepat.,trust,,percaya polisi tangan cepat 
Kami berharap polisi tetap setia pada tugasnya untuk melindungi rakyat.,trust,,harap polisi setia tugas lindung rakyat 
Rakyat butuh polisi yang selalu menjunjung tinggi nilai keadilan.,trust,,rakyat butuh polisi junjung nilai adil 
Polisi yang transparan dalam menjalankan tugasnya akan lebih dipercaya publik.,trust,,polisi transparan jalan tugas percaya publik 
Saya yakin ada banyak polisi yang masih bekerja dengan penuh integritas.,trust,,polisi kerja penuh integritas 
Kami percaya polisi bisa menjadi ujung tombak dalam melawan kejahatan.,trust,,percaya polisi ujung tombak lawan jahat 
Polisi yang berani menolak korupsi akan selalu mendapat dukungan rakyat.,trust,,polisi berani tolak korupsi dukung rakyat 
Saya yakin kepolisian akan terus berusaha menjadi lebih baik setiap hari.,trust,,polisi usaha 
Kepercayaan rakyat terhadap polisi akan semakin kuat jika mereka bekerja jujur.,trust,,percaya rakyat hadap polisi kuat kerja jujur 
Kami yakin kepolisian bisa meningkatkan profesionalisme dalam bertugas.,trust,,polisi tingkat profesionalisme tugas 
Polisi yang dekat dengan rakyat akan lebih mudah menjalankan tugasnya.,trust,,polisi rakyat mudah jalan tugas 
Saya percaya hukum bisa berjalan dengan baik jika polisi bekerja dengan jujur.,trust,,percaya hukum jalan polisi kerja jujur 
Polisi yang tegas tetapi tetap humanis akan selalu dihormati masyarakat.,trust,,polisi humanis hormat masyarakat 
Kami berharap polisi tetap menjaga keadilan tanpa diskriminasi.,trust,,harap polisi jaga adil diskriminasi 
Polisi yang bekerja tanpa penyalahgunaan wewenang akan selalu didukung rakyat.,trust,,polisi kerja penyalahgunaan wewenang dukung rakyat 
Saya yakin kepolisian bisa menjadi harapan bagi hukum yang lebih baik.,trust,,polisi harap hukum 
Polisi yang bersih dan transparan akan membawa perubahan positif bagi bangsa.,trust,,polisi bersih transparan bawa ubah positif bangsa 
Bangga melihat polisi bekerja keras menjaga keamanan masyarakat!,joy,,bangga lihat polisi kerja keras jaga aman masyarakat 
Senang sekali melihat polisi yang jujur dan bertanggung jawab dalam tugasnya.,joy,,senang lihat polisi jujur tanggung tugas 
Kepolisian yang bekerja dengan hati nurani benar-benar patut diapresiasi!,joy,,polisi kerja hati nurani patut apresiasi 
Bahagia melihat polisi semakin profesional dalam menangani berbagai kasus.,joy,,bahagia lihat polisi profesional tangan 
Rakyat pasti lebih tenang jika polisi terus bekerja dengan baik seperti ini.,joy,,rakyat tenang polisi kerja 
Salut untuk polisi yang terus berusaha menciptakan lingkungan yang aman!,joy,,salut polisi usaha cipta lingkung aman 
Keamanan semakin terjamin berkat kerja keras polisi yang berdedikasi.,joy,,aman jamin berkat kerja keras polisi dedikasi 
Senang sekali melihat kepolisian semakin transparan dalam bekerja!,joy,,senang lihat polisi transparan kerja 
Polisi yang jujur dan tegas benar-benar membawa harapan bagi masyarakat.,joy,,polisi jujur bawa harap masyarakat 
"Tidak semua polisi buruk, masih banyak yang menjalankan tugas dengan baik.",netral,,polisi buruk  jalan tugas 
Profesionalisme dalam bertugas akan membuat kepolisian semakin dihormati.,netral,,profesionalisme tugas polisi hormat 
"Keamanan dan ketertiban butuh kerja sama semua pihak, bukan hanya tugas polisi.",netral,,aman tertib butuh kerja  tugas polisi 
Setiap individu di kepolisian punya tanggung jawab untuk menjaga citra institusi.,netral,,individu polisi tanggung jaga citra institusi 
Hati terasa lebih tenang saat melihat polisi hadir di tengah masyarakat.,joy,,hati asa tenang lihat polisi hadir masyarakat 
Kerja polisi yang luar biasa membuat lingkungan jadi lebih kondusif.,joy,,kerja polisi lingkung kondusif 
Saya sangat mengapresiasi polisi yang selalu mengutamakan keadilan.,joy,,apresiasi polisi utama adil 
Senang melihat polisi membantu rakyat kecil tanpa pandang bulu!,joy,,senang lihat polisi bantu rakyat pandang bulu 
Bangga dengan polisi yang selalu mengedepankan integritas dalam bertugas.,joy,,bangga polisi integritas tugas 
Kepolisian yang transparan adalah bukti kemajuan penegakan hukum di negeri ini!,joy,,polisi transparan bukti maju tega hukum negeri 
Bahagia melihat polisi semakin humanis dalam melayani masyarakat.,joy,,bahagia lihat polisi humanis layan masyarakat 
Polisi yang bekerja tanpa korupsi adalah harapan besar bagi bangsa ini!,joy,,polisi kerja korupsi harap bangsa 
Polisi yang responsif terhadap laporan warga benar-benar luar biasa!,joy,,polisi responsif hadap lapor warga 
Salut untuk polisi yang selalu hadir di saat rakyat membutuhkan bantuan.,joy,,salut polisi hadir rakyat butuh bantu 
Hukum bisa berjalan dengan baik jika polisi terus bekerja seperti ini!,joy,,hukum jalan polisi kerja 
Senang melihat polisi semakin inovatif dalam menangani masalah keamanan.,joy,,senang lihat polisi inovatif tangan aman 
Kepolisian yang disiplin dan profesional adalah kebanggaan bangsa!,joy,,polisi disiplin profesional bangga bangsa 
Polisi yang terus berbenah diri akan semakin dicintai rakyatnya.,joy,,polisi benah cinta rakyat 
Keberanian polisi dalam menindak kejahatan patut diapresiasi!,joy,,berani polisi tindak jahat patut apresiasi 
Makin bangga dengan kepolisian yang berani melawan praktik korupsi!,joy,,bangga polisi berani lawan praktik korupsi 
Polisi yang peduli pada masyarakat akan selalu mendapatkan kepercayaan penuh.,joy,,polisi peduli masyarakat percaya penuh 
Bangga melihat polisi melayani rakyat dengan sepenuh hati.,joy,,bangga lihat polisi layan rakyat sepenuh hati 
Polisi yang cepat tanggap dalam bertugas benar-benar menginspirasi!,joy,,polisi cepat tanggap tugas inspirasi 
Sungguh menyenangkan melihat kepolisian semakin bersih dan transparan.,joy,,sungguh senang lihat polisi bersih transparan 
Polisi yang berintegritas tinggi selalu mendapat tempat di hati masyarakat.,joy,,polisi integritas hati masyarakat 
Senyum polisi yang ramah membuat masyarakat merasa lebih dekat.,joy,,senyum polisi ramah masyarakat 
Hebat! Polisi semakin sigap dalam menangani berbagai situasi darurat.,joy,,hebat  polisi sigap tangan situasi darurat 
Kepolisian yang cerdas dan inovatif benar-benar membawa angin segar!,joy,,polisi cerdas inovatif bawa angin segar 
Polisi yang adil akan selalu mendapat tempat di hati masyarakat.,joy,,polisi adil hati masyarakat 
Bangga melihat polisi mengayomi rakyat dengan penuh ketulusan!,joy,,bangga lihat polisi ayom rakyat penuh tulus 
Polisi yang bekerja tanpa pamrih adalah pahlawan sejati bangsa!,joy,,polisi kerja pamrih pahlawan sejati bangsa 
Salut untuk kepolisian yang makin aktif dalam membangun hubungan baik dengan rakyat.,joy,,salut polisi aktif bangun hubung rakyat 
Polisi yang bertindak tegas terhadap pelanggar hukum layak mendapat penghargaan!,joy,,polisi tindak hadap langgar hukum layak harga 
Percuma laporan kalau akhirnya dibiarkan begitu saja!,anger,,lapor biar 
"Mereka harusnya melindungi rakyat, bukan malah bikin takut!",anger,,lindung rakyat  bikin takut 
Kepolisian yang makin transparan membuat rakyat lebih percaya.,joy,,polisi transparan rakyat percaya 
Polisi yang bekerja dengan hati akan selalu dikenang jasanya.,joy,,polisi kerja hati kenang jasa 
Bangga dengan polisi yang sigap dalam memberikan pertolongan.,joy,,bangga polisi sigap tolong 
Hebat! Polisi semakin terbuka dalam menerima kritik dan masukan rakyat.,joy,,hebat  polisi buka terima kritik masuk rakyat 
Kepolisian yang semakin baik akan membawa dampak besar bagi bangsa ini.,joy,,polisi bawa dampak bangsa 
Polisi yang bersih dan amanah akan selalu mendapat dukungan penuh dari rakyat.,joy,,polisi bersih amanah dukung penuh rakyat 
